geo_uid,ct_name,avg_income_2006,avg_rent_2006,avg_dwelling_cost_2006,years_to_save_2006,income_monthly_2006,pct_income_rent_2006,advocados_rent
9330062,62,39010,1001,393804,3.63,3250.83,30.79,243.55
9330063,63,33689,868,360604,3.32,2807.42,30.92,211.19
9330064,64,28665,849,305242,2.81,2388.75,35.54,206.57
9330065,65,30888,879,367260,3.39,2574,34.15,213.87
9330066,66,47603,1278,644355,7.27,3966.92,32.22,310.95
9330067,67,40335,995,677516,7.88,3361.25,29.6,242.09
9330068,68,40857,922,557800,5.67,3404.75,27.08,224.33
9330069,69,40942,1068,840460,10.88,3411.83,31.3,259.85
9330100.01,100.01,37084,1002,695544,8.21,3090.33,32.42,243.8
9330100.02,100.02,37951,924,551057,5.55,3162.58,29.22,224.82
9330101.02,101.02,35316,875,385814,3.56,2943,29.73,212.9
9330101.03,101.03,32550,856,310202,2.86,2712.5,31.56,208.27
9330101.04,101.04,30817,1057,322452,2.97,2568.08,41.16,257.18
9330102,102,35010,1046,525206,5.07,2917.5,35.85,254.5
9330103,103,33520,859,467899,4.31,2793.33,30.75,209
9330104,104,39743,1087,711817,8.51,3311.92,32.82,264.48
9330110.01,110.01,52473,1048,748935,9.20,4372.75,23.97,254.99
9330110.02,110.02,51535,1098,758411,9.37,4294.58,25.57,267.15
9330111.01,111.01,39676,1073,571358,5.92,3306.33,32.45,261.07
9330111.02,111.02,50845,1041,687423,8.06,4237.08,24.57,253.28
9330111.03,111.03,36327,1079,420576,3.88,3027.25,35.64,262.53
9330112,112,35377,941,621140,6.84,2948.08,31.92,228.95
9330113,113,38994,884,586690,6.21,3249.5,27.2,215.09
9330114,114,44902,1182,673320,7.80,3741.83,31.59,287.59
9330115,115,38084,1143,655483,7.47,3173.67,36.02,278.1
9330116,116,53180,1196,871590,11.46,4431.67,26.99,291
9330117,117,54509,1340,790719,9.97,4542.42,29.5,326.03
9330118,118,42177,955,515702,4.90,3514.75,27.17,232.36
9330119,119,51504,1330,717086,8.61,4292,30.99,323.6
9330120,120,63330,1742,811065,10.34,5277.5,33.01,423.84
9330121,121,58546,1633,855710,11.17,4878.83,33.47,397.32
9330122,122,53762,1549,811053,10.34,4480.17,34.57,376.89
9330130.01,130.01,51765,1319,847691,11.02,4313.75,30.58,320.92
9330130.03,130.03,41936,1048,684605,8.01,3494.67,29.99,254.99
9330130.04,130.04,24107,0,0,0.00,2008.92,0,0
9330131,131,63277,1504,1036597,38.22,5273.08,28.52,365.94
9330132,132,151939,1808,1560564,57.54,12661.58,14.28,439.9
